Subject, Student, Grade
57e22320-837b-4345-81ec-3387ace7afb3, 10813c16-a9e7-45fb-9a1d-93f8ae892eb9, 42
a375c99c-c33a-4c68-be93-126d562ee31c, 10813c16-a9e7-45fb-9a1d-93f8ae892eb9, 33
ac0e2a2f-42f9-4e50-9f95-eec9866413d8, 10813c16-a9e7-45fb-9a1d-93f8ae892eb9, 70
d7984354-6c88-4855-af4c-3b9fb5ab5594, 10813c16-a9e7-45fb-9a1d-93f8ae892eb9, 54
fd245740-717a-4810-abfa-b2e338d6aacc, 10813c16-a9e7-45fb-9a1d-93f8ae892eb9, 47
0e30ce78-5558-4a2c-877a-1491c561b282, 10813c16-a9e7-45fb-9a1d-93f8ae892eb9, 79
d092a854-e3b1-4e04-ae9c-2bb40b9e902b, 10813c16-a9e7-45fb-9a1d-93f8ae892eb9, 62
535ddbc7-1f52-49cf-b691-9978682a990c, 10813c16-a9e7-45fb-9a1d-93f8ae892eb9, 39
57e22320-837b-4345-81ec-3387ace7afb3, 99c9c30a-0bb2-42b5-acc2-037ff58b7950, 80
a375c99c-c33a-4c68-be93-126d562ee31c, 99c9c30a-0bb2-42b5-acc2-037ff58b7950, 22
ac0e2a2f-42f9-4e50-9f95-eec9866413d8, 99c9c30a-0bb2-42b5-acc2-037ff58b7950, 100
d7984354-6c88-4855-af4c-3b9fb5ab5594, 99c9c30a-0bb2-42b5-acc2-037ff58b7950, 0
fd245740-717a-4810-abfa-b2e338d6aacc, 99c9c30a-0bb2-42b5-acc2-037ff58b7950, 60
0e30ce78-5558-4a2c-877a-1491c561b282, 99c9c30a-0bb2-42b5-acc2-037ff58b7950, 4
d092a854-e3b1-4e04-ae9c-2bb40b9e902b, 99c9c30a-0bb2-42b5-acc2-037ff58b7950, 87
535ddbc7-1f52-49cf-b691-9978682a990c, 99c9c30a-0bb2-42b5-acc2-037ff58b7950, 13
57e22320-837b-4345-81ec-3387ace7afb3, b5ec420d-1517-4e1b-9b3c-56364c621d37, 53
a375c99c-c33a-4c68-be93-126d562ee31c, b5ec420d-1517-4e1b-9b3c-56364c621d37, 38
ac0e2a2f-42f9-4e50-9f95-eec9866413d8, b5ec420d-1517-4e1b-9b3c-56364c621d37, 24
d7984354-6c88-4855-af4c-3b9fb5ab5594, b5ec420d-1517-4e1b-9b3c-56364c621d37, 37
fd245740-717a-4810-abfa-b2e338d6aacc, b5ec420d-1517-4e1b-9b3c-56364c621d37, 85
0e30ce78-5558-4a2c-877a-1491c561b282, b5ec420d-1517-4e1b-9b3c-56364c621d37, 54
d092a854-e3b1-4e04-ae9c-2bb40b9e902b, b5ec420d-1517-4e1b-9b3c-56364c621d37, 8
535ddbc7-1f52-49cf-b691-9978682a990c, b5ec420d-1517-4e1b-9b3c-56364c621d37, 9
57e22320-837b-4345-81ec-3387ace7afb3, 7b70cdc7-c394-4467-af80-843b94a91a45, 62
a375c99c-c33a-4c68-be93-126d562ee31c, 7b70cdc7-c394-4467-af80-843b94a91a45, 0
