Subject, Student, Grade
4837395f-197e-40ec-b982-6c69c512236d, b285bea1-3295-4034-a28c-34dcf89eb007, 97
d18077c4-1be7-4ec8-babe-8e594114db06, b285bea1-3295-4034-a28c-34dcf89eb007, 97
1ca19d01-ae95-46bc-a9a1-2b69e6b88053, b285bea1-3295-4034-a28c-34dcf89eb007, 55
2ef46a65-709b-4566-aadc-0611391311e6, b285bea1-3295-4034-a28c-34dcf89eb007, 25
5f673b63-8bb9-4418-a8b5-b15acc29017c, b285bea1-3295-4034-a28c-34dcf89eb007, 70
83dab227-1d09-412e-9b89-4ae5dcb585f1, b285bea1-3295-4034-a28c-34dcf89eb007, 14
6ff04762-d3f3-45da-a746-012b902ede79, b285bea1-3295-4034-a28c-34dcf89eb007, 73
384853df-1433-47f6-9a3b-83bda78411ec, b285bea1-3295-4034-a28c-34dcf89eb007, 4
f9861894-7e3a-4368-a8d2-3fb8a0d82926, 23aab1b8-0358-4b97-a4b5-aaa7e2a0d963, 80
f4a1c274-287d-4bd5-ac6a-af7a49d40ed2, 23aab1b8-0358-4b97-a4b5-aaa7e2a0d963, 38
56c3d175-e2cd-4805-b5cb-13af5dd6215f, 23aab1b8-0358-4b97-a4b5-aaa7e2a0d963, 56
446c7636-1d11-4100-8e93-a487524c9d88, 23aab1b8-0358-4b97-a4b5-aaa7e2a0d963, 1
8f48492e-3b41-47f0-a3ef-bf0364b7614d, 23aab1b8-0358-4b97-a4b5-aaa7e2a0d963, 63
f66df16e-1754-4c82-a0a1-3677f073bb0e, 23aab1b8-0358-4b97-a4b5-aaa7e2a0d963, 44
d2a2c16a-e6f4-4097-83f4-d891e468256a, 23aab1b8-0358-4b97-a4b5-aaa7e2a0d963, 70
4f830cae-91ee-48f4-856b-13543e54cce9, 23aab1b8-0358-4b97-a4b5-aaa7e2a0d963, 51
4837395f-197e-40ec-b982-6c69c512236d, 55b2f94b-75ae-4be8-8a35-fc9480011f05, 4
d18077c4-1be7-4ec8-babe-8e594114db06, 55b2f94b-75ae-4be8-8a35-fc9480011f05, 2
1ca19d01-ae95-46bc-a9a1-2b69e6b88053, 55b2f94b-75ae-4be8-8a35-fc9480011f05, 40
2ef46a65-709b-4566-aadc-0611391311e6, 55b2f94b-75ae-4be8-8a35-fc9480011f05, 87
5f673b63-8bb9-4418-a8b5-b15acc29017c, 55b2f94b-75ae-4be8-8a35-fc9480011f05, 31
83dab227-1d09-412e-9b89-4ae5dcb585f1, 55b2f94b-75ae-4be8-8a35-fc9480011f05, 2
6ff04762-d3f3-45da-a746-012b902ede79, 55b2f94b-75ae-4be8-8a35-fc9480011f05, 5
384853df-1433-47f6-9a3b-83bda78411ec, 55b2f94b-75ae-4be8-8a35-fc9480011f05, 64
f9861894-7e3a-4368-a8d2-3fb8a0d82926, 53b0b861-f8de-4d0a-ba2d-11c3a1c03b8b, 31
f4a1c274-287d-4bd5-ac6a-af7a49d40ed2, 53b0b861-f8de-4d0a-ba2d-11c3a1c03b8b, 63
56c3d175-e2cd-4805-b5cb-13af5dd6215f, 53b0b861-f8de-4d0a-ba2d-11c3a1c03b8b, 79
446c7636-1d11-4100-8e93-a487524c9d88, 53b0b861-f8de-4d0a-ba2d-11c3a1c03b8b, 30
8f48492e-3b41-47f0-a3ef-bf0364b7614d, 53b0b861-f8de-4d0a-ba2d-11c3a1c03b8b, 52
f66df16e-1754-4c82-a0a1-3677f073bb0e, 53b0b861-f8de-4d0a-ba2d-11c3a1c03b8b, 38
d2a2c16a-e6f4-4097-83f4-d891e468256a, 53b0b861-f8de-4d0a-ba2d-11c3a1c03b8b, 21
4f830cae-91ee-48f4-856b-13543e54cce9, 53b0b861-f8de-4d0a-ba2d-11c3a1c03b8b, 67
4837395f-197e-40ec-b982-6c69c512236d, a3e40ee1-3519-4263-b49e-64da0e71531a, 37
