ID, Name, Birthday, Gender, Class
ae40631b-a990-4055-8603-0e7acc0a70aa, Trần Minh Long, 22/05/2004, M, tempClass
4b2463f4-aabc-41a8-b755-03e30a32f1cb, Lê Anh Minh, 19/09/2003, F, tempClass
571b4d80-c9fe-42ff-a151-d3dcd6d9f959, Võ Anh Long, 29/08/2004, M, tempClass
b7dceb1a-f2df-4f62-8661-7545739394f3, Lý Hoàng Bảo Khánh, 15/11/2004, F, tempClass
e22dd12e-7841-439e-934d-979a8540fbdd, Hồ Anh Phương, 14/04/2003, F, tempClass
8c0b76b0-fb35-429a-aa76-e7dce9d45bb4, Võ Thị Anh, 28/09/2003, F, tempClass
efd8029f-43e6-4ce8-b800-d123f6de67bb, Lý Văn Hòa, 23/05/2004, M, tempClass
1a1525eb-3dbb-469d-ba87-6fcfd772da95, Lê Hoàng Bảo Phương, 12/06/2003, F, tempClass
0525f8b5-3d57-43d4-ba18-0c911b05edd8, Lê Văn Khánh, 14/12/2003, M, tempClass
1af704d5-d17b-49b9-9be8-8dcd7d33e7aa, Võ Thị Trang, 24/05/2003, F, tempClass
35f8ea04-55d8-4f07-9766-2c8258effb4d, Hồ Anh Anh, 29/07/2003, F, tempClass
e4b51115-3a20-4095-bdfa-881637f0a400, Hồ Thị Hòa, 12/02/2004, M, tempClass
0e40c6f2-2094-43fe-a1c4-82bba792fb85, Nguyễn Hoàng Bảo Trang, 13/07/2004, F, tempClass
66d4cd89-3048-4111-b1ec-7ca0ce473e2a, Lê Anh Đạt, 04/09/2004, M, tempClass
2eb0c00d-eee8-4897-9345-25fc8551d35f, Trần Văn Long, 08/02/2003, M, tempClass
80d2ca81-cd52-411f-a83c-894da884d7ba, Võ Văn Khánh, 05/02/2003, M, tempClass
e781a2ee-cf07-45e9-b581-5e27a193f69b, Hồ Thúy Trang, 06/07/2004, F, tempClass
9952fc52-cb29-4c5e-830f-fe42a60343b9, Võ Thúy Trang, 24/02/2003, F, tempClass
a57470f5-42c9-4677-be00-4b9ca5b2fd91, Hồ Minh Anh, 03/12/2004, F, tempClass
ec91eded-6490-45cc-806e-f19bde85b96b, Lý Anh Minh, 27/06/2004, M, tempClass
