ID, Fullname, Gender, Birthday, Class
aa2c0457-1f87-43f9-94ae-269ee313fb4f, La Anh Huyen, Male, 4/4/2005,  f34d38a8-ab37-46a1-815f-598b96e044c3
331caa3f-2ff7-4978-91cc-e7676d4e0e3a, Pham Thanh Nhu, Male, 9/30/2004,  863ba612-80ad-4804-abba-d81b3a108845
aef57c1d-6819-4805-ba91-cfa75458fac9, Le Minh Nhi, Female, 4/21/2006,  47916d99-f312-4fde-8a6b-cea5f73d4da2
eae70a4d-872d-4d63-9541-dc70eda37d97, Ngo Anh Uyen, Male, 9/7/2006,  6b701c41-4424-4d64-b768-9099cbb992cf
24f4e874-24b3-4a94-91d4-f4722a059e64, Pham Ngoc Nhu, Male, 1/2/2004,  5aa9a6e8-2e5b-435e-8929-56cae2c3f3cb
330c61f9-a4e9-44c8-a5fd-f9b081e920e4, Dinh Thi Dung, Male, 11/4/2005,  270e427f-1da8-4d3b-9045-fc949848eaa8
506a5be2-2676-4f08-a2f2-0943bf06d0aa, Pham Minh Dung, Male, 6/11/2005,  5aa9a6e8-2e5b-435e-8929-56cae2c3f3cb
b1e52623-73c8-4a59-a904-a146329c1a6b, Dinh Anh Nhi, Male, 7/22/2004,  270e427f-1da8-4d3b-9045-fc949848eaa8
fbc3d55e-ea8e-4540-85e9-fc4ee1c976c6, Tran Thanh Dung, Male, 7/25/2005,  f34d38a8-ab37-46a1-815f-598b96e044c3
5a105e9b-5b39-44d0-aee6-489ed5def333, Ly Thu Nhu, Male, 9/13/2005,  6b701c41-4424-4d64-b768-9099cbb992cf
fc825f3b-ee93-430c-a583-fe0b1f3675dc, Tran Anh Dung, Female, 10/8/2005,  f3bbfda1-5d31-416a-b994-1b18f09641e3
57717011-ec2a-40fa-b930-2b16a8f6c218, Nguyen Thu Giang, Male, 6/14/2004,  6b701c41-4424-4d64-b768-9099cbb992cf
d1c4ce9b-ae0e-46b1-9128-e17b644645c6, On Minh Nhi, Male, 12/16/2005,  9fa247ef-cccb-4b4b-9934-be558913bce6
04b5e775-0f29-4d5f-aa8a-f62b349eb60e, Nguyen Minh Nhi, Male, 4/15/2006,  5aa9a6e8-2e5b-435e-8929-56cae2c3f3cb
df736860-dc42-487b-ba4c-c29f165943a5, Pham Ngoc Tam, Female, 8/3/2004,  fca16876-5bbb-4a90-b8d2-ac7e0f119ba0
ab83db16-3fb8-45b4-aa4c-e02c5c4a506d, On Thu Van, Female, 5/22/2004,  6b701c41-4424-4d64-b768-9099cbb992cf
3f8e14f7-a5b6-4ba0-abc3-f1abcab98c1a, Ngo Thu Dung, Male, 3/14/2006,  fcd90085-b3f0-4599-8bfb-8a33b6b87f65
0546b7bc-f6fb-4f7f-afaa-a17c0896e682, Dinh Ngoc Giang, Female, 3/6/2005,  47916d99-f312-4fde-8a6b-cea5f73d4da2
55bb57a6-e586-4888-8446-126e39651945, Ly Thanh Nhi, Female, 4/6/2004,  d28f8103-3469-4815-aa8d-3c4e8310939b
b10d5cc8-1b8d-4ac7-a03c-1186c7556864, Nguyen Thanh Phuong, Male, 10/30/2005,  17b32cd3-f93a-44e2-a874-40e82d962847
ed22bf2b-7dd5-4020-87c3-c2fce6d5f766, Ngo Thi Giang, Female, 3/26/2005,  9edcdd74-37bb-4ff9-a2e7-d1d58475dd4c
256c4a91-3451-4c17-9078-3de33d3e6f9c, On Thu Tam, Female, 7/27/2004,  9fa247ef-cccb-4b4b-9934-be558913bce6
81f790dc-670b-4a79-ad3e-f5c2c09f292b, Le Thanh Huyen, Female, 5/25/2004,  17b32cd3-f93a-44e2-a874-40e82d962847
