UUID, Name, Birthday, Gender, ClassUUID
7c4a6a54-9111-467c-9ccb-bbab09728d63, Hồ Vân, 5/1/2003 12:00:00 AM, False, e89e4ea6-1340-470f-a76a-2c71e411b78f
63b79d0f-7c16-474e-a966-edbc8286105f, Lê Hoàng Thảo, 6/10/2005 12:00:00 AM, False, ad5dea94-afe0-48cc-b203-f025341b05a3
4d943879-2482-4866-83d5-c5f60b4768a8, Nguyễn Anh Thông, 11/21/2004 12:00:00 AM, True, 4e86cff1-90a5-468a-81b4-0bf4416ff148
5bfb2f03-e0b0-4942-b591-3de2152c01c1, Triệu Anh Hoàng Hiếu, 7/14/2003 12:00:00 AM, True, c7b0bf04-2aee-42a4-b279-5cc4dfa893f1
63aceb19-8b60-4cfc-ba67-c8fec2c56e02, Trần Thu Thị Thảo, 11/27/2003 12:00:00 AM, False, 03ff5b44-2f23-4b78-b2f0-90c5611a1ef8
51bd2fdb-9584-465a-ac80-9f640d8f91e0, Quách Minh Tuấn, 9/15/2005 12:00:00 AM, True, c5ce19ef-6418-4d4f-a936-019a2a63bdab
b93b68b0-a97f-4a5a-9366-e9d848246e3f, Thái Dương Thành, 1/4/2004 12:00:00 AM, True, 25df06bf-eab0-4a9a-9496-257966a71a32
051aa402-55d3-407e-b0c5-b981eeed849b, Võ Bá Bảo Hiếu, 1/31/2005 12:00:00 AM, True, 9d90edf6-9209-45c6-a51a-0d1ece26e8c3
d5effe80-187e-4862-bbcf-53545a3fb2fd, Võ Văn Đạt, 1/1/2004 12:00:00 AM, True, 2be534f1-84b6-4afa-bbb9-fae22026e806
5215082b-225a-4f56-97e2-b97ad0d8d892, Đinh Nhật Thảo, 8/9/2004 12:00:00 AM, False, e4d2c31a-8f32-4770-b932-e7f29e0a9151
