ID, UUID, Fullname, Birthday
0, 12e71cd1-cddd-4e02-a0cc-fa69921d59d9, Lý Minh Thành, 1/13/2002 3:33:52 PM
1, 07523234-5198-47c4-a5ae-b179948013a3, Nguyễn Thái Thanh, 7/22/2003 8:31:09 PM
2, 096431ca-fbbd-4e8e-afcd-7f68f872ddd9, Võ Hoàng Bảo Dương, 12/1/2004 6:36:22 PM
3, 4d5b6878-e97b-40e8-bc95-2b05e0b7f131, Hồ Minh Đạt, 7/17/2002 5:22:18 AM
4, 9c512269-3e3c-4816-b105-c18da70d98f0, Lý Văn Phúc, 7/10/2002 3:57:52 AM
5, 2d57131b-32c6-4252-98a1-a9914cd03ab7, Phạm Thúy Phương, 7/6/2002 5:18:59 PM
6, 85057c92-f859-4a72-b3c8-5b1dc68ce678, Võ Minh Khoa, 11/26/2002 8:08:38 PM
7, 7eb2c5d7-e800-4450-8212-e9eec9554f04, Nguyễn Minh Thành, 7/29/2004 3:01:45 PM
8, da34ef89-cd35-4664-9524-5f36a4cf8093, Hoàng Minh Dũng, 1/20/2002 7:00:25 PM
9, 946577c0-5fa8-45de-8665-a3d804b8396b, Hoàng Văn Dũng, 5/15/2003 7:27:31 PM
10, d1ffc22c-df8e-4ca7-b5c8-e06e62b272eb, Hoàng Thái Khoa, 3/8/2002 10:43:50 AM
11, 7521841c-8054-45d9-8aad-2bc9787e0648, Nguyễn Thị Đạt, 10/10/2004 11:32:59 PM
12, 164e1e52-99af-471f-8690-2077c8453fe8, Trần Thúy Tuấn, 2/12/2003 3:26:21 PM
13, 74eb1ece-3132-45a0-bd1a-4f28014a1ee7, Phạm Thị Long, 8/9/2002 4:29:24 PM
14, d0bafa62-7e35-49cf-85cc-972dcbf389ca, Hoàng Thúy Thanh, 9/12/2002 6:50:52 AM
15, 2ea2c29c-61d8-4507-a49e-bfdd810d232f, Hồ Thị Long, 7/23/2004 8:28:41 AM
16, 966be894-140b-4331-9944-90a0132c9647, Võ Anh Thành, 10/18/2003 9:05:37 PM
17, 752ff2b2-0ce5-45a3-b8b5-45c4eb588b09, Nguyễn Minh Giang, 1/13/2004 5:00:18 AM
18, 601935c8-11f3-43b0-81b7-b1889ed7a65a, Đoàn Văn Long, 6/3/2002 4:50:07 AM
19, f246d8c3-af26-4cc7-9cf5-6b4e81175000, Phạm Minh Phương, 7/20/2004 12:01:45 AM
20, b1d545c4-03b9-486f-a474-55410cb30aaa, Hoàng Minh Huy, 10/19/2004 4:21:47 AM
21, 926bfe6d-7295-45cb-a6b8-b28df462b136, Lý Anh Phúc, 6/7/2003 11:19:47 AM
22, f9027835-2c74-44c7-a99d-acfbfd5f57cc, Đoàn Kiều Trang, 10/6/2003 1:40:53 AM
23, 9abdaf05-fd10-460b-9602-d2d93c8e58ed, Lưu Xuân Dương, 7/7/2003 11:50:16 AM
24, 13dc04df-9304-4522-bff0-987964cc7af8, Nguyễn Kiều Dũng, 9/8/2002 3:02:35 AM
25, a15cb513-af8a-4ef9-a44d-906be84b3b37, Lưu Anh Giang, 2/12/2002 6:29:58 PM
26, 7ba59c57-604e-4ec6-88db-dbb45ad8585d, Võ Thúy Phương, 12/4/2004 4:57:28 AM
27, c9591641-4a6c-4f04-9dfa-3f38aa54d2e1, Lưu Minh Thành, 7/24/2004 11:23:06 PM
28, 6baba5ec-b87f-4d2c-861f-06273c9ff335, Hoàng Thùy Khoa, 6/19/2004 11:38:34 AM
29, e35efa8f-c1c3-49a6-899f-f0195d039f8a, Hoàng Thảo Linh, 12/8/2002 2:12:30 PM
30, 6920d3cf-ed9c-4d83-b3c6-b976ce3c54f2, Lý Thúy Linh, 5/1/2003 5:56:14 PM
31, 954b0174-d619-49c9-b041-76af04a0b964, Nguyễn Anh Thành, 6/21/2003 3:21:51 PM
32, 7fd2c7ea-520f-44f7-bf68-7a0e0de69e89, Lý Anh Dũng, 3/9/2002 9:59:43 PM
