UUID, Fullname, Gender, Birthday, Class
0522f084-a4b1-4b51-bfe8-49483ed3895b, Đoàn Anh Sơn, True, 3/11/2001 2:34:26 PM, 11A1
2dd55a7c-919b-4fc8-bca9-b5a939c68d4c, Lê Minh Thanh, False, 8/27/2001 5:18:13 AM, 11A1
ba322570-5a8e-4896-b175-879af1acfffc, Trần Thảo Trang, False, 2/6/2002 12:51:16 AM, 10A1
ab87d2e5-a5b3-44a1-8ff3-8998c137fc65, Đoàn Hoàng Bảo Duy, True, 5/25/2001 8:02:32 AM, 11A1
8e38fe3f-f04e-4fe7-9e26-69ec96d5f000, Võ Trúc Trang, False, 8/13/2005 10:58:37 PM, 10A1
75239c4f-5561-4347-9273-a81dd404814d, Nguyễn Thiên Dương, True, 1/24/2006 4:22:43 AM, 10A1
a3c38fd7-d7a1-4c67-a78c-bccc4c162d12, Võ Ngọc Thanh, False, 5/30/2002 11:34:51 AM, 10A1
fe291d85-5d8f-4f04-83a3-b4e0efe3fe97, Nguyễn Hương Vân, False, 4/28/2001 10:01:12 PM, 11A1
e10b0ffe-5999-4519-ae06-bc355e68df23, Trần Minh Giang, False, 10/27/2001 5:27:55 AM, 11A1
619b87cc-b9be-45c5-b8b8-b6d3ddd47a09, Nguyễn Việt Hùng, True, 12/1/2004 3:39:27 AM, 10A1
d0c8d47d-bb38-4a03-a99b-11c6d95b8d66, Phạm Thiên Hưng, True, 3/9/2002 3:53:07 PM, 10A1
c7aa05b0-2fac-4ba0-a753-e449b760cdbb, Đặng Hương Thanh, False, 9/12/2005 11:28:30 PM, 10A1
91607611-c869-4894-a766-a60d08a8f2c7, Lê Văn Hưng, True, 7/22/2000 3:18:35 PM, 12A1
6479f9db-5e3e-4902-a0f6-d39bfcbd51ec, Võ Việt Duy, True, 12/3/2003 10:00:22 PM, 10A1
508f1cbd-d18a-4366-87b9-28024bb41bd8, Nguyễn Minh Phúc, True, 9/22/2002 7:20:59 PM, 10A1
