UUID, Name, Birthday, Gender, Class
14ec3278-42db-435d-ba3e-66067164b1f1, Nguyễn Thúy Uyên, 17/09/2003, F, d62ee722-8868-46a3-863a-f60b51eccd96
ef1c9cbd-a2bc-48f3-935e-5030b8516dcb, Nguyễn Anh Đạt, 21/01/2004, M, d62ee722-8868-46a3-863a-f60b51eccd96
18f5211f-1535-49ec-84fd-a32d7c7930ca, Hồ Thị Đạt, 19/06/2005, M, d62ee722-8868-46a3-863a-f60b51eccd96
1eea9e5f-5722-4b6b-acb0-9b77f26a4b1f, Trần Anh Vân, 15/07/2003, F, d62ee722-8868-46a3-863a-f60b51eccd96
52616c17-1f54-4ee3-bc33-3bffef00c738, Lê Văn Minh, 01/09/2002, F, d62ee722-8868-46a3-863a-f60b51eccd96
5776ed36-3517-4bb0-89f0-84d9101d2d19, Hồ Anh Vân, 23/09/2002, F, d62ee722-8868-46a3-863a-f60b51eccd96
236f2f60-272d-4e96-9fe0-586e331cf227, Lê Thị Vân, 06/11/2005, F, d62ee722-8868-46a3-863a-f60b51eccd96
3ec34f8a-9845-4bb0-87ca-cb0f676949b8, Võ Minh Minh, 31/03/2001, M, d62ee722-8868-46a3-863a-f60b51eccd96
ebcd6353-7c3c-4068-96ba-a8db45392f27, Nguyễn Văn Vân, 26/06/2001, F, d62ee722-8868-46a3-863a-f60b51eccd96
fa5a07da-218e-4cda-8e0f-4324f0e7f34d, Lê Anh Anh, 15/08/2004, F, d62ee722-8868-46a3-863a-f60b51eccd96
e0ade804-8dc7-4e9e-8d2c-b0de30205d9d, Hồ Hoàng Bảo Anh, 22/09/2002, F, d62ee722-8868-46a3-863a-f60b51eccd96
86446e2f-57d5-4ca2-b83a-c578b069331a, Võ Anh Khánh, 13/01/2005, F, d62ee722-8868-46a3-863a-f60b51eccd96
cb667a27-ff35-41a4-a67e-152236b7c514, Nguyễn Thị Anh, 03/08/2001, M, d62ee722-8868-46a3-863a-f60b51eccd96
fd32ff23-0af6-4f3e-9972-4f63dfafcb3c, Hồ Hoàng Bảo Hòa, 16/08/2001, M, d62ee722-8868-46a3-863a-f60b51eccd96
2cbdb83d-77bd-4178-ac26-dedf82797256, Lý Hoàng Bảo Long, 07/06/2002, M, d62ee722-8868-46a3-863a-f60b51eccd96
5646f776-c041-4a21-a7f7-6e345e9a454b, Lê Thúy Trang, 24/04/2005, F, d62ee722-8868-46a3-863a-f60b51eccd96
48b24740-3a1c-4d10-ad53-b4b637f92e53, Lý Minh Minh, 23/12/2004, M, d62ee722-8868-46a3-863a-f60b51eccd96
0b20b6c4-5d57-4d4c-92fe-2ec206f5255e, Nguyễn Thúy Khánh, 29/12/2002, F, d62ee722-8868-46a3-863a-f60b51eccd96
bdcc3b03-a9f9-45ba-b42b-fea5d21259ec, Lý Thúy Vân, 11/03/2001, F, d62ee722-8868-46a3-863a-f60b51eccd96
1826f418-f730-4c80-9c07-0a435d1ab774, Trần Văn Uyên, 20/10/2004, F, d62ee722-8868-46a3-863a-f60b51eccd96
f202295f-a435-4c3e-b4dc-271b1d166152, Trần Hoàng Bảo Đạt, 28/05/2001, M, d62ee722-8868-46a3-863a-f60b51eccd96
9bf2480b-b3e4-4a8c-880e-731a1b7d6f93, Trần Thị Đạt, 26/04/2005, M, d62ee722-8868-46a3-863a-f60b51eccd96
f043dd81-8031-4e90-a9c3-1e2b5edc951f, Hồ Minh Hòa, 14/09/2003, M, d62ee722-8868-46a3-863a-f60b51eccd96
53055b73-d28d-4fb7-8c89-78136c20036c, Trần Anh Phương, 09/07/2001, F, d62ee722-8868-46a3-863a-f60b51eccd96
af0afb40-99f7-4889-b042-23d512071f36, Nguyễn Văn Khánh, 01/05/2001, M, d62ee722-8868-46a3-863a-f60b51eccd96
0c58de35-bf0c-4384-b922-9a2e54f378ac, Lý Thị Long, 30/11/2001, M, d62ee722-8868-46a3-863a-f60b51eccd96
e21a8ff0-1711-4a77-8daf-0203016d7775, Hồ Thị Trang, 06/09/2001, F, d62ee722-8868-46a3-863a-f60b51eccd96
47c02e2a-3d69-429c-8715-b9d03ff3ba50, Lý Anh Đạt, 18/05/2002, M, d62ee722-8868-46a3-863a-f60b51eccd96
def42c10-e211-4918-8916-623a16ba0a7e, Nguyễn Văn Anh, 04/04/2005, F, d62ee722-8868-46a3-863a-f60b51eccd96
af1c5cba-d4d8-40c1-b7ef-1d911bb585cc, Trần Hoàng Bảo Trang, 31/07/2003, F, d62ee722-8868-46a3-863a-f60b51eccd96
0906e8c8-167e-4939-8694-f08c7d99e4cc, Hồ Văn Trang, 24/08/2001, F, d62ee722-8868-46a3-863a-f60b51eccd96
7aa92a00-aaf7-49c4-97bc-00767b7c8b1e, Võ Thị Vân, 28/01/2005, F, d62ee722-8868-46a3-863a-f60b51eccd96
2c8775cf-39eb-44b5-9e10-03ae6ece2342, Lê Văn Khánh, 15/07/2005, M, d62ee722-8868-46a3-863a-f60b51eccd96
926b95c8-bf39-4ceb-bc01-01e3f8c9085b, Hồ Minh Khánh, 20/05/2005, F, d62ee722-8868-46a3-863a-f60b51eccd96
d5405726-e084-425c-bdec-fc90eb73fdf3, Trần Thị Minh, 15/06/2004, F, d62ee722-8868-46a3-863a-f60b51eccd96
01e3e677-fd23-48ce-9863-e19b9e5e5641, Hồ Thị Phương, 30/09/2005, F, d62ee722-8868-46a3-863a-f60b51eccd96
e4bfaabf-0355-4dc8-ac15-e837966c53cb, Lý Minh Hòa, 18/03/2003, M, d62ee722-8868-46a3-863a-f60b51eccd96
745fa477-6be3-4022-a0cc-304d53917a3c, Hồ Văn Vân, 27/10/2002, F, d62ee722-8868-46a3-863a-f60b51eccd96
26316f22-a573-44a2-95af-1e80956ad71a, Lê Minh Phương, 16/12/2002, F, d62ee722-8868-46a3-863a-f60b51eccd96
