UUID, Name, Gender, Field
d52c419e-92ae-4731-977a-f261a1cc0520, Nguyễn Thúy Anh, M, 4f86fa74-97a1-460b-aeec-05fc74fc5ee2
705ac976-c5e1-44b3-a2bc-d0402332e231, Lê Thị Khánh, M, 53058bd8-6966-4e63-8048-5fe87c8c9d88
d3400712-9910-4bff-9565-7c707e1c9e0c, Trần Anh Vân, F, 53058bd8-6966-4e63-8048-5fe87c8c9d88
2d8411f2-716e-414f-a4d2-4d55b6577b47, Võ Thúy Phương, F, b0494f23-3d86-4400-bbe1-5a1435b1cf3a
37a0d69e-5adc-4664-9eb6-9599f7d5e120, Trần Hoàng Bảo Anh, M, b0494f23-3d86-4400-bbe1-5a1435b1cf3a
dd4e381a-00a9-4327-9cc1-f3982e7d2d8c, Võ Minh Long, M, 1d1edd33-d259-4a26-acde-9c0a60291ce7
264edb65-d381-416d-8567-66a43fe2ca19, Lê Anh Anh, M, 4f86fa74-97a1-460b-aeec-05fc74fc5ee2
2e8549c4-81e2-4dea-be14-8da17a5770c0, Trần Anh Trang, F, 1d1edd33-d259-4a26-acde-9c0a60291ce7
4e7c5d63-bd38-4c18-b015-24ff1f52ffe9, Nguyễn Hoàng Bảo Khánh, M, 9c17f3f9-97d9-4b19-ad5a-37edfebfb629
302d257b-0a8f-4f00-bdea-d43761e0ea85, Hồ Hoàng Bảo Anh, M, 6fc2859d-fb19-4140-9d2f-de331719376a
5f2b9d4b-a564-4feb-9a4f-03423789bab2, Lê Minh Hòa, M, b0494f23-3d86-4400-bbe1-5a1435b1cf3a
7ee53f2e-0d84-4e37-9d6c-9a568b826890, Nguyễn Thúy Anh, F, 6fc2859d-fb19-4140-9d2f-de331719376a
df7a72cd-54c8-4d35-ad26-84fba44ebe44, Trần Thúy Minh, M, 9c17f3f9-97d9-4b19-ad5a-37edfebfb629
ccd60af7-a799-48a9-8c04-c94e91a85174, Lê Thúy Khánh, M, 2c79c9fe-aedc-4740-a494-cdcf704735a7
855c9cc6-716d-4412-8b7e-4f1c330f460c, Lý Thúy Trang, F, b29793ed-f43a-4bb2-892e-d8958c61e4a1
db415712-f621-4c3e-922b-5dafc01eb0a2, Trần Hoàng Bảo Trang, F, b29793ed-f43a-4bb2-892e-d8958c61e4a1
af062d83-eb82-4c41-a6c0-add7ab064829, Trần Minh Thành, M, 1d1edd33-d259-4a26-acde-9c0a60291ce7
767d67f4-9014-4cc2-b677-db551dbf2cfc, Trần Minh Thành, M, c8b64133-021f-46b4-9101-f4a20bc58d88
7dcbf0b9-0920-417c-9c4c-bfb7fb40ff76, Lý Hoàng Bảo Khánh, F, 1d1edd33-d259-4a26-acde-9c0a60291ce7
cf379733-fdb9-4500-b785-2213ac9f87ce, Lê Thúy Minh, M, b29793ed-f43a-4bb2-892e-d8958c61e4a1
152073b2-71f1-4490-8046-db0e763f298f, Hồ Thị Vân, F, 6fc2859d-fb19-4140-9d2f-de331719376a
